CourseCode;Name;StartDate;EndDate;Location;MaterialType;Description;MatCode;MainCategory;SubCategory1;SubCategory2
565847;Microsoft Dynamics 365 Customer Engagement (CRM) Key Usereille;5.11.2018;6.11.2018;Pasila;PDF;Kaksipäiväinen kurssi sopii kaikille, joille perustietämys Dynamics 365:stä ei riitä ja henkilöille jotka toimivat organisaatioidensa pääkäyttäjäroolissa. Kurssin tuloksena kykenet ratkomaan käyttäjien ongelmat, saat omalla osaamisellasi ja tietämykselläsi käyttäjät innostumaan järjestelmästä ja ennen kaikkea, toimit mainiona linkkinä käyttäjien ja liiketoimintajohdon välillä.;True;Productivity;Sales and Marketing;Marketing and Sales
565848;Microsoft Dynamics 365 Customer Engagement (CRM) Key Usereille;5.11.2018;6.11.2018;Online;PDF;Kaksipäiväinen kurssi sopii kaikille, joille perustietämys Dynamics 365:stä ei riitä ja henkilöille jotka toimivat organisaatioidensa pääkäyttäjäroolissa. Kurssin tuloksena kykenet ratkomaan käyttäjien ongelmat, saat omalla osaamisellasi ja tietämykselläsi käyttäjät innostumaan järjestelmästä ja ennen kaikkea, toimit mainiona linkkinä käyttäjien ja liiketoimintajohdon välillä.;True;Productivity;Sales and Marketing;Marketing and Sales
566304;Blanchard: Leading People Through Change;2.11.2018;2.11.2018;Pasila;;Leading People Through Change® valmennusohjelman avulla menestyt muutosjohtamisessa. Mallia voi hyödyntää organisaation erilaisiin muutostilanteisiin, liittyivät ne sitten tuotteeseen, strategiaan tai prosesseihin. Taustalla vahva 30:n vuoden tutkimus ja kokemukset muutosjohtamisen konsultoinnista.;True;Leadership;Leadership Skills
566555;Flow ja PowerApps;12.10.2018;12.10.2018;Pasila;;Flow ja PowerApps tarjoavat helpotusta rutiinitehtäviin. Tällä kurssilla saat valmiudet sinua itseä, työryhmääsi tai koko yritystä helpottavanpienoissovelluksen rakentamiseksi, jolla voi erilaisten yhteyksien ja yhdyskäytävien kautta olla yhteydessä liiketoiminnan käyttämiin tietojärjestelmiin ja hyödyntää niiden tietoja.;True;Productivity;Business Applications
566556;Flow ja PowerApps;12.10.2018;12.10.2018;Online;;Flow ja PowerApps tarjoavat helpotusta rutiinitehtäviin. Tällä kurssilla saat valmiudet sinua itseä, työryhmääsi tai koko yritystä helpottavanpienoissovelluksen rakentamiseksi, jolla voi erilaisten yhteyksien ja yhdyskäytävien kautta olla yhteydessä liiketoiminnan käyttämiin tietojärjestelmiin ja hyödyntää niiden tietoja.;True;Productivity;Business Applications
566737;Flow ja PowerApps;12.12.2018;12.12.2018;Online;;Flow ja PowerApps tarjoavat helpotusta rutiinitehtäviin. Tällä kurssilla saat valmiudet sinua itseä, työryhmääsi tai koko yritystä helpottavanpienoissovelluksen rakentamiseksi, jolla voi erilaisten yhteyksien ja yhdyskäytävien kautta olla yhteydessä liiketoiminnan käyttämiin tietojärjestelmiin ja hyödyntää niiden tietoja.;True;Productivity;Business Applications
566736;Flow ja PowerApps;12.12.2018;12.12.2018;Pasila;;Flow ja PowerApps tarjoavat helpotusta rutiinitehtäviin. Tällä kurssilla saat valmiudet sinua itseä, työryhmääsi tai koko yritystä helpottavanpienoissovelluksen rakentamiseksi, jolla voi erilaisten yhteyksien ja yhdyskäytävien kautta olla yhteydessä liiketoiminnan käyttämiin tietojärjestelmiin ja hyödyntää niiden tietoja.;True;Productivity;Business Applications
565728;Videot webiin - Premiere Pro päivässä;2.11.2018;2.11.2018;Pasila;;Luo omat aikajanasi ja ota videot haltuun nopealla aikataululla! Jatkossa ilmaset asiasi näppärästi videon muodossa.;True;Productivity;Visual Planning;Photo Editing and Video
565533;UiPath-työkalukoulutus teknisille kehittäjille (P);21.11.2018;22.11.2018;Pasila;;Koulutus on aloituspiste yritykselle, joka kehittää ja ylläpitää täysimittaista UiPath-pohjaista ohjelmistorobotiikkaa. Koulutus tarjoaa käytännöllisiä neuvoja UiPathohjelmoinnissa onnistumiseksi auttamalla osallistujia ymmärtämään UiPathin edistyneempiä toiminnallisuuksia.;True;Technology;Testing
565537;Ohjelmistorobotiikka (RPA) teknisille kehittäjille;18.10.2018;19.10.2018;Pasila;;;True;Technology;Software Development;Agile
566717;Ohjelmistorobotiikka (RPA) teknisille kehittäjille;14.5.2019;15.5.2019;Pasila;;;True;Technology;Software Development;Agile
565534;DevOps Practitioner (DASA);13.11.2018;14.11.2018;Pasila;;;True;Technology;Software Development;Agile
566720;DevOps Practitioner (DASA);20.5.2019;22.5.2019;Pasila;;;True;Technology;Software Development;Agile
565538;ISTQB Advanced Level/Test Automation Engineer Certificate Course;29.10.2018;31.10.2018;Pasila;;The ISTQB Advanced Test Automation Engineer Certificate Course is a three-day course explaining the tasks of a test automation engineer (TAE) in designing, developing, and maintaining test automation solutions.;True;Technology;Testing
566714;ISTQB Advanced Level/Test Automation Engineer Certificate Course;8.4.2019;10.4.2019;Pasila;;The ISTQB Advanced Test Automation Engineer Certificate Course is a three-day course explaining the tasks of a test automation engineer (TAE) in designing, developing, and maintaining test automation solutions.;True;Technology;Testing
566094;DO409 Automation with Ansible II: Ansible Tower;3.12.2018;4.12.2018;Pasila;Kirja tai muu tuloste;Take your automation to the next level with Ansible Tower;True;Technology;Infra;Red Hat
566194;Azure for AWS experts;10.10.2018;12.10.2018;Pasila;;;True;Technology;Infra;Microsoft Cloud-services
566195;Azure for AWS experts;10.10.2018;12.10.2018;Online;;;True;Technology;Infra;Microsoft Cloud-services
566596;Azure for AWS experts;14.1.2019;16.1.2019;Online;;;True;Technology;Infra;Microsoft Cloud-services
566595;Azure for AWS experts;14.1.2019;16.1.2019;Pasila;;;True;Technology;Infra;Microsoft Cloud-services
565676;Photoshop päivässä;4.10.2018;4.10.2018;Pasila;;Tule ottamaan Adobe Photoshop haltuun uutena käyttäjänä.;True;Productivity;Visual Planning;Photo Editing and Video
565677;Photoshop päivässä;4.10.2018;4.10.2018;Online;;Tule ottamaan Adobe Photoshop haltuun uutena käyttäjänä.;True;Productivity;Visual Planning;Photo Editing and Video
565953;20703-2 Integrating MDM and Cloud Services with System Center Configuration Manager  (SCCM);8.10.2018;9.10.2018;Pasila;PDF;SCCM integrointi pilvipalveluihin. Tällä System Center Configuration Manager Current Branch jatkokurssilla opit monipuolisesti tarvittavat toimenpiteet SCCM integroimiseksi Microsoft Azure pilvipalveluihin kuten Microsoft Store for Business, Microsoft Office 365 jne. Kurssilla toteutat myös tarvittavat PKI rakenteet Internet Based Client Management eli IBCMn ja paikallisen MDMn mahdollistamiseksi sekä pystytät ConfigMgr:n jakelupisteen (Cloud Based distribution point) ja hallintapisteen (Cloud Management Gateway) pilveen.;True;Technology;Infra;System Center and Device Management
565954;20703-2 Integrating MDM and Cloud Services with System Center Configuration Manager  (SCCM);8.10.2018;9.10.2018;Online;PDF;SCCM integrointi pilvipalveluihin. Tällä System Center Configuration Manager Current Branch jatkokurssilla opit monipuolisesti tarvittavat toimenpiteet SCCM integroimiseksi Microsoft Azure pilvipalveluihin kuten Microsoft Store for Business, Microsoft Office 365 jne. Kurssilla toteutat myös tarvittavat PKI rakenteet Internet Based Client Management eli IBCMn ja paikallisen MDMn mahdollistamiseksi sekä pystytät ConfigMgr:n jakelupisteen (Cloud Based distribution point) ja hallintapisteen (Cloud Management Gateway) pilveen.;True;Technology;Infra;System Center and Device Management
565955;20703-2 Integrating MDM and Cloud Services with System Center Configuration Manager  (SCCM);21.11.2018;22.11.2018;Pasila;PDF;SCCM integrointi pilvipalveluihin. Tällä System Center Configuration Manager Current Branch jatkokurssilla opit monipuolisesti tarvittavat toimenpiteet SCCM integroimiseksi Microsoft Azure pilvipalveluihin kuten Microsoft Store for Business, Microsoft Office 365 jne. Kurssilla toteutat myös tarvittavat PKI rakenteet Internet Based Client Management eli IBCMn ja paikallisen MDMn mahdollistamiseksi sekä pystytät ConfigMgr:n jakelupisteen (Cloud Based distribution point) ja hallintapisteen (Cloud Management Gateway) pilveen.;True;Technology;Infra;System Center and Device Management
565956;20703-2 Integrating MDM and Cloud Services with System Center Configuration Manager  (SCCM);21.11.2018;22.11.2018;Online;PDF;SCCM integrointi pilvipalveluihin. Tällä System Center Configuration Manager Current Branch jatkokurssilla opit monipuolisesti tarvittavat toimenpiteet SCCM integroimiseksi Microsoft Azure pilvipalveluihin kuten Microsoft Store for Business, Microsoft Office 365 jne. Kurssilla toteutat myös tarvittavat PKI rakenteet Internet Based Client Management eli IBCMn ja paikallisen MDMn mahdollistamiseksi sekä pystytät ConfigMgr:n jakelupisteen (Cloud Based distribution point) ja hallintapisteen (Cloud Management Gateway) pilveen.;True;Technology;Infra;System Center and Device Management
565961;Sovelto Hybrid: Azure Machine Learning;17.9.2018;3.12.2018;Online;;Machine learning kuuluu tämän hetken kuumimpiin termeihin. Yritykset ovatkin alkaneet räjähdysmäisesti panostamaan omiin machine learning -ratkaisuihin, joka näkyy osaajien kovassa kysynnässä markkinoilla. Liity osaajien joukkoon!;True;Technology;Databases and Analytics;Reporting and BI
566866;Sovelto Hybrid: Azure Machine Learning;22.10.2018;21.12.2018;Online;;Machine learning kuuluu tämän hetken kuumimpiin termeihin. Yritykset ovatkin alkaneet räjähdysmäisesti panostamaan omiin machine learning -ratkaisuihin, joka näkyy osaajien kovassa kysynnässä markkinoilla. Liity osaajien joukkoon!;True;Technology;Databases and Analytics;Reporting and BI
565962;Sovelto Hybrid: Programming in R for Data Science;10.9.2018;3.12.2018;Online;;Data Scientist on tämän hetken kysytyin titteli ja headhuntereiden kilpailun kohde. Tule oppimaan datatieteitä ja R-kieltä nyt samassa paketissa!;True;Technology;Databases and Analytics;Reporting and BI
566233;Sovelto Hybrid: Programming in Python for Data Science;24.9.2018;14.12.2018;Online;;Data Scientist on tämän hetken kysytyin titteli ja headhuntereiden kilpailun kohde. Python on yksi tärkeimmistä data-analyytikon ja pilviohjelmoijien kielistä. Tämä kurssi johdattelee sinut datatieteiden pariin Pythonin tuella.;True;Technology;Databases and Analytics;Reporting and BI
566867;Sovelto Hybrid: Programming in Python for Data Science;22.10.2018;21.1.2019;Online;;Data Scientist on tämän hetken kysytyin titteli ja headhuntereiden kilpailun kohde. Python on yksi tärkeimmistä data-analyytikon ja pilviohjelmoijien kielistä. Tämä kurssi johdattelee sinut datatieteiden pariin Pythonin tuella.;True;Technology;Databases and Analytics;Reporting and BI
566643;Sovelto Hybrid: Programming in Python for Data Science;18.1.2019;29.3.2019;Online;;Data Scientist on tämän hetken kysytyin titteli ja headhuntereiden kilpailun kohde. Python on yksi tärkeimmistä data-analyytikon ja pilviohjelmoijien kielistä. Tämä kurssi johdattelee sinut datatieteiden pariin Pythonin tuella.;True;Technology;Databases and Analytics;Reporting and BI
565991;Sovelto Hybrid: Azure DevOps;3.9.2018;26.11.2018;Online;;DevOps on tuottavan järjestelmäkehityksen kulmakivi. Tässä valmennusohjelmassa opit kuinka se tehdään Azure -ympäristössä. Välineinä käytetään muun muassa Team Serviceä sekä Docker -kontteja.;True;Technology;Software Development;Microsoft Technologies
566642;Sovelto Hybrid: Azure DevOps;11.1.2019;22.3.2019;Online;;DevOps on tuottavan järjestelmäkehityksen kulmakivi. Tässä valmennusohjelmassa opit kuinka se tehdään Azure -ympäristössä. Välineinä käytetään muun muassa Team Serviceä sekä Docker -kontteja.;True;Technology;Software Development;Microsoft Technologies
566234;Sovelto Hybrid: Azure Developer;25.9.2018;20.12.2018;Online;;Azure sovelluskehittäjistä ja arkkitehdeistä on huutava pula. Tällä opiskelukokonaisuudella opit Azure-pilven full stack -sovellusarkkitehdiksi. Tässä koulutuksessa tähtäät myös  Azure Developer -sertifiointiin.;True;Technology;Software Development
566649;Sovelto Hybrid: Azure Developer;13.12.2018;12.3.2019;Online;;Azure sovelluskehittäjistä ja arkkitehdeistä on huutava pula. Tällä opiskelukokonaisuudella opit Azure-pilven full stack -sovellusarkkitehdiksi. Tässä koulutuksessa tähtäät myös  Azure Developer -sertifiointiin.;True;Technology;Software Development
566864;SQL-kielen perusteet (SoveltoX);11.9.2018;11.9.2018;Online;;Jos kaipaat perehdytystä SQL-kieleen, tämän kurssikokonaisuuden käytyäsi osaat tehdä peruskyselyitä relaatiotietokantaan.SQL-kielen perusteet -kokonaisuus on saatavilla Sovelto Virtual -itseopiskelupakettina!;True;Technology;Databases and Analytics;Database Programming
566860;Projektijohtaminen (SoveltoX);11.9.2018;11.9.2018;Online;;Kaipaatko perustietoa projektinhallinnasta, projektien suunnittelusta, riskien hallinnasta ja IPMA-sertifioinnin aiheista?Projektijohtaminen -kokonaisuus nyt saatavilla Sovelto Virtual -itseopiskelupakettina!;True;Leadership;Project Management
566865;Excel - havainnollistaminen kaavioilla ja muotoiluilla (SoveltoX);11.9.2018;11.9.2018;Online;;Opi Excelin kaavioiden luominen ja muokkaaminen ja tutustu kaavioiden erilaisiin käyttömahdollisuuksiin. Tutustu myös Sparkline-kaavioihin sekä ehdolliseen muotoiluun.Excel - havainnollistaminen kaavioilla ja muotoiluilla -kokonaisuus on saatavilla Sovelto Virtual -itseopiskelupakettina!;True;Productivity;Business Applications;Spreadsheets and Reporting
566119;Datavisualisointi Web-sovelluksissa;4.9.2018;4.9.2018;Pasila;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
566120;Datavisualisointi Web-sovelluksissa;4.9.2018;4.9.2018;Online;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
566121;Datavisualisointi Web-sovelluksissa;2.11.2018;2.11.2018;Pasila;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
566122;Datavisualisointi Web-sovelluksissa;2.11.2018;2.11.2018;Online;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
566602;Datavisualisointi Web-sovelluksissa;12.12.2018;12.12.2018;Pasila;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
566603;Datavisualisointi Web-sovelluksissa;12.12.2018;12.12.2018;Online;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
567082;Datavisualisointi Web-sovelluksissa;13.12.2018;13.12.2018;Pasila;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
567083;Datavisualisointi Web-sovelluksissa;13.12.2018;13.12.2018;Online;PDF;Kurssilla perehdytään Web Front-Endissä tapahtuvaan datan visualisointiin JavaScriptin ja erilaisten kirjastojen avulla.;True;Technology;Software Development;Web Development
565990;Sovelto Hybrid: Analyzing and Visualizing Data with Power BI;2.10.2018;23.10.2018;Online;;Tietoon perustuva päätösten teko on menestyvien yritysten kulmakivi. Power BI:lla luot näyttäviä ja helposti analysoitavia raportteja lukuisista erilaisista tietolähteistä.;True;Technology;Databases and Analytics;Reporting and BI
566868;Sovelto Hybrid: Analyzing and Visualizing Data with Power BI;5.11.2018;3.12.2018;Online;;Tietoon perustuva päätösten teko on menestyvien yritysten kulmakivi. Power BI:lla luot näyttäviä ja helposti analysoitavia raportteja lukuisista erilaisista tietolähteistä.;True;Technology;Databases and Analytics;Reporting and BI
565819;20535 Architecting Microsoft Azure Solutions;16.10.2018;19.10.2018;Pasila;PDF;Jokaisen Microsoft Azure -konsultin ja -arkkitehdin must-kurssi.;True;Technology;Software Development;Microsoft Technologies
565820;20535 Architecting Microsoft Azure Solutions;16.10.2018;19.10.2018;Online;PDF;Jokaisen Microsoft Azure -konsultin ja -arkkitehdin must-kurssi.;True;Technology;Software Development;Microsoft Technologies
566019;Containers Microsoft-alustoilla;20.9.2018;21.9.2018;Pasila;PDF;Containers, kotoisemmin kontit, ovat nykypäivää nyt myös Windows- ja Azure-ympäristöissä. Kaikkien infra- ja sovelluskehitysammattilaisten on osattava ne.;True;Technology;Software Development;Microsoft Technologies
566020;Containers Microsoft-alustoilla;20.9.2018;21.9.2018;Online;PDF;Containers, kotoisemmin kontit, ovat nykypäivää nyt myös Windows- ja Azure-ympäristöissä. Kaikkien infra- ja sovelluskehitysammattilaisten on osattava ne.;True;Technology;Software Development;Microsoft Technologies
566936;Office 365 Teams tunnissa (SoveltoX);12.9.2018;12.9.2018;Online;;Teams tunnissa on virtuaalikurssi, jolla sinä voit itsenäisesti opetella Office 365 Teamsin käytön.Teams tunnissa -kokonaisuus on saatavilla Sovelto Virtual -itseopiskelupakettina!;True;Productivity;Työelämän vuorovaikutustaidot
566722;Oracle Database Security: Preventive Controls;4.2.2019;8.2.2019;Pasila;PDF;In the Oracle Database Security: Preventive Controls course, students learn how they can use Oracle Database Security products and technologies to meet the security, privacy and compliance requirements of their organization.;True;Technology;Databases and Analytics;Oracle-courses
566626;20776 Performing Big Data Engineering on Microsoft Cloud Services;13.11.2018;16.11.2018;Pasila;PDF;Datainsinöörin peruskusrssi!Tämän 4-päiväisen kurssin tavoitteena on perehdyttää osallistujat Big Datan prosessointiin Microsoft Azuren palveluilla: Azure Stream Analytics, Azure Data Lake, Azure SQL Data Warehouse ja Azure Data Factory.;True;Technology;Databases and Analytics;Reporting and BI
566627;20776 Performing Big Data Engineering on Microsoft Cloud Services;13.11.2018;16.11.2018;Online;PDF;Datainsinöörin peruskusrssi!Tämän 4-päiväisen kurssin tavoitteena on perehdyttää osallistujat Big Datan prosessointiin Microsoft Azuren palveluilla: Azure Stream Analytics, Azure Data Lake, Azure SQL Data Warehouse ja Azure Data Factory.;True;Technology;Databases and Analytics;Reporting and BI
565966;20774 Perform Cloud Data Science with Azure Machine Learning;13.11.2018;16.11.2018;Pasila;PDF;Data-analyytikon peruskurssi!Tämän 4-päiväisen kurssin tavoitteena on antaa taidot analysoida dataa Azure Machine Learningin avulla, sekä antaa perustiedot mm. R-palveluiden ja HDInsightin hyödyntämisestä ML:n kanssa.;True;Technology;Databases and Analytics;Reporting and BI
565967;20774 Perform Cloud Data Science with Azure Machine Learning;13.11.2018;16.11.2018;Online;PDF;Data-analyytikon peruskurssi!Tämän 4-päiväisen kurssin tavoitteena on antaa taidot analysoida dataa Azure Machine Learningin avulla, sekä antaa perustiedot mm. R-palveluiden ja HDInsightin hyödyntämisestä ML:n kanssa.;True;Technology;Databases and Analytics;Reporting and BI
566987;20774 Perform Cloud Data Science with Azure Machine Learning;29.1.2019;1.2.2019;Pasila;PDF;Data-analyytikon peruskurssi!Tämän 4-päiväisen kurssin tavoitteena on antaa taidot analysoida dataa Azure Machine Learningin avulla, sekä antaa perustiedot mm. R-palveluiden ja HDInsightin hyödyntämisestä ML:n kanssa.;True;Technology;Databases and Analytics;Reporting and BI
566988;20774 Perform Cloud Data Science with Azure Machine Learning;29.1.2019;1.2.2019;Online;PDF;Data-analyytikon peruskurssi!Tämän 4-päiväisen kurssin tavoitteena on antaa taidot analysoida dataa Azure Machine Learningin avulla, sekä antaa perustiedot mm. R-palveluiden ja HDInsightin hyödyntämisestä ML:n kanssa.;True;Technology;Databases and Analytics;Reporting and BI
565235;10998 Updating Your Skills to SQL Server 2017;12.10.2018;12.10.2018;Pasila;PDF;SQL Server 2017 uudet ominaisuudet!Tällä 1-päiväisellä kurssilla käydään läpi SQL Server 2017 uudet ominaisuudet tietokantamoottorin, raportoinnin, analytiikan, azuren ja Linux-alustan osalta.;True;Technology;Databases and Analytics;Database Administration
565236;10998 Updating Your Skills to SQL Server 2017;12.10.2018;12.10.2018;Online;PDF;SQL Server 2017 uudet ominaisuudet!Tällä 1-päiväisellä kurssilla käydään läpi SQL Server 2017 uudet ominaisuudet tietokantamoottorin, raportoinnin, analytiikan, azuren ja Linux-alustan osalta.;True;Technology;Databases and Analytics;Database Administration
566832;10998 Updating Your Skills to SQL Server 2017;15.3.2019;15.3.2019;Pasila;PDF;SQL Server 2017 uudet ominaisuudet!Tällä 1-päiväisellä kurssilla käydään läpi SQL Server 2017 uudet ominaisuudet tietokantamoottorin, raportoinnin, analytiikan, azuren ja Linux-alustan osalta.;True;Technology;Databases and Analytics;Database Administration
566833;10998 Updating Your Skills to SQL Server 2017;15.3.2019;15.3.2019;Online;PDF;SQL Server 2017 uudet ominaisuudet!Tällä 1-päiväisellä kurssilla käydään läpi SQL Server 2017 uudet ominaisuudet tietokantamoottorin, raportoinnin, analytiikan, azuren ja Linux-alustan osalta.;True;Technology;Databases and Analytics;Database Administration
566096;JB184 Red Hat Application Development I: Programming in Java EE with exam;8.10.2018;12.10.2018;Pasila;Kirja tai muu tuloste;Helping Java SE developers write Java EE applications;True;Technology;Software Development;Java
566095;JB183 Red Hat Application Development I: Programming in Java;8.10.2018;11.10.2018;Pasila;Kirja tai muu tuloste;Helping Java SE developers write Java EE applications;True;Technology;Software Development;Java
565527;Koneoppiminen Data-analytiikassa;6.11.2018;7.11.2018;Pasila;Kirja tai muu tuloste;Tekoälysovellusten hyödyntäminen on kasvamassa yhä keskeisemmäksi osaksi data-analytiikkaa. Erityisesti kerättävän datan määrän kasvu mahdollistaa yhä parempien mallien kehittämisen. Myös ohjelmistorobotiikka ja koneoppimismenetelmien kehittyminen ovat tuoneet data-analyytikoille uusia työkaluja datan ja dynaamisten järjestelmien mallintamiseen;True;Technology;Databases and Analytics
566370;Koneoppiminen Data-analytiikassa;8.11.2018;9.11.2018;Pasila;Kirja tai muu tuloste;Tekoälysovellusten hyödyntäminen on kasvamassa yhä keskeisemmäksi osaksi data-analytiikkaa. Erityisesti kerättävän datan määrän kasvu mahdollistaa yhä parempien mallien kehittämisen. Myös ohjelmistorobotiikka ja koneoppimismenetelmien kehittyminen ovat tuoneet data-analyytikoille uusia työkaluja datan ja dynaamisten järjestelmien mallintamiseen;True;Technology;Databases and Analytics
566711;Koneoppiminen Data-analytiikassa;12.2.2019;13.2.2019;Pasila;Kirja tai muu tuloste;Tekoälysovellusten hyödyntäminen on kasvamassa yhä keskeisemmäksi osaksi data-analytiikkaa. Erityisesti kerättävän datan määrän kasvu mahdollistaa yhä parempien mallien kehittämisen. Myös ohjelmistorobotiikka ja koneoppimismenetelmien kehittyminen ovat tuoneet data-analyytikoille uusia työkaluja datan ja dynaamisten järjestelmien mallintamiseen;True;Technology;Databases and Analytics
565530;Python Programming Basics ;26.9.2018;27.9.2018;Pasila;;Hanki perustiedot Python-ohjelmointikielestä;True;Technology;Software Development
566367;Python Programming Basics ;3.10.2018;4.10.2018;Pasila;;Hanki perustiedot Python-ohjelmointikielestä;True;Technology;Software Development
